frame,face_id,person_label,emotion,score,caption
0,1,pessoa1,Neutro,68.17387390136719,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
0,2,pessoa2,Triste,98.2159652709961,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
1,1,pessoa1,Neutro,59.71391677856445,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
1,2,pessoa2,Triste,92.17374420166016,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
2,1,pessoa1,Alegre,47.466827392578125,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
2,2,pessoa2,Triste,99.71267700195312,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
3,1,pessoa1,Alegre,75.09795379638672,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
3,2,pessoa2,Triste,99.31487274169922,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
3,3,pessoa3,Alegre,98.72979736328125,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
4,1,pessoa1,Neutro,85.34947967529297,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
4,2,pessoa2,Triste,99.8534927368164,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
4,3,pessoa3,Triste,99.92574310302734,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
5,1,pessoa1,Triste,41.06357955932617,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
5,2,pessoa2,Triste,99.4148178100586,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
5,3,pessoa3,Neutro,61.67932891845703,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
6,1,pessoa1,Neutro,85.67887115478516,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
6,2,pessoa2,Triste,99.28284454345703,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
6,3,pessoa3,Neutro,60.12701416015625,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
6,4,pessoa4,Medo,71.18842315673828,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
7,1,pessoa1,Neutro,84.7459716796875,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
7,2,pessoa2,Triste,99.23660278320312,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
7,3,pessoa3,Neutro,99.8934555053711,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
7,4,pessoa4,Medo,67.35885620117188,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
8,1,pessoa1,Neutro,47.62229919433594,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
8,2,pessoa2,Neutro,89.4926528930664,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
8,3,pessoa3,Raiva,49.711483001708984,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
8,4,pessoa4,Triste,84.762939453125,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
9,1,pessoa1,Neutro,46.679630279541016,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
9,2,pessoa2,Triste,51.12675094604492,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
9,3,pessoa3,Raiva,79.89677429199219,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
10,1,pessoa1,Neutro,83.49981689453125,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
10,2,pessoa2,Neutro,58.38618469238281,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
10,3,pessoa3,Neutro,99.05167388916016,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
11,1,pessoa1,Neutro,95.99434661865234,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
11,2,pessoa2,Triste,83.1110610961914,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
11,3,pessoa3,Neutro,93.20132446289062,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
12,1,pessoa1,Triste,61.00861358642578,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
12,2,pessoa2,Triste,95.98343658447266,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
12,3,pessoa3,Neutro,99.0018081665039,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
13,1,pessoa1,Triste,53.04187774658203,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
13,2,pessoa2,Triste,90.24259185791016,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
13,3,pessoa3,Neutro,99.1087646484375,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
14,1,pessoa1,Neutro,96.60594940185547,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
14,2,pessoa2,Triste,79.23534393310547,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
14,3,pessoa3,Neutro,93.74919891357422,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
15,1,pessoa1,Neutro,95.62371826171875,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
15,2,pessoa2,Medo,85.3670883178711,"Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé."
